model,quant,arc_chat,arc_chat_stderr,bfcl_accuracy,bfcl_all,bfcl_all2,bfcl_exec_multiple_acc,bfcl_exec_multiple_sterr,bfcl_exec_parallel_acc,bfcl_exec_parallel_multiple_acc,bfcl_exec_parallel_multiple_sterr,bfcl_exec_parallel_sterr,bfcl_exec_simple_acc,bfcl_exec_simple_sterr,bfcl_irrelevance_acc,bfcl_irrelevance_sterr,bfcl_live_irrelevance_acc,bfcl_live_irrelevance_sterr,bfcl_live_multiple_acc,bfcl_live_multiple_sterr,bfcl_live_parallel_acc,bfcl_live_parallel_multiple_acc,bfcl_live_parallel_multiple_sterr,bfcl_live_parallel_sterr,bfcl_live_relevance_acc,bfcl_live_relevance_sterr,bfcl_live_simple_acc,bfcl_live_simple_sterr,bfcl_multi_turn_base_acc,bfcl_multi_turn_base_sterr,bfcl_multi_turn_composite_acc,bfcl_multi_turn_composite_sterr,bfcl_multi_turn_long_context_acc,bfcl_multi_turn_long_context_sterr,bfcl_multi_turn_miss_func_acc,bfcl_multi_turn_miss_func_sterr,bfcl_multi_turn_miss_param_acc,bfcl_multi_turn_miss_param_sterr,bfcl_multiple_acc,bfcl_multiple_sterr,bfcl_parallel_acc,bfcl_parallel_multiple_acc,bfcl_parallel_multiple_sterr,bfcl_parallel_sterr,bfcl_simple_java_acc,bfcl_simple_java_sterr,bfcl_simple_javascript_acc,bfcl_simple_javascript_sterr,bfcl_simple_python_acc,bfcl_simple_python_sterr,bfcl_sql_acc,bfcl_sql_sterr,bfcl_stderr,bfcl_total_samples,bigcodebench_mean,bigcodebench_std,bigcodebench_total_samples,eval_time_seconds,gsm8k_flexible,gsm8k_flexible_stderr,gsm8k_strict,gsm8k_strict_stderr,humaneval_pass@1,humaneval_pass@1_stderr,humaneval_plus_pass@1,humaneval_plus_pass@1_stderr,ifeval_inst_loose,ifeval_inst_loose_stderr,ifeval_inst_strict,ifeval_inst_strict_stderr,ifeval_prompt_loose,ifeval_prompt_loose_stderr,ifeval_prompt_strict,ifeval_prompt_strict_stderr,musr_accuracy,musr_stderr,musr_total_samples,total_samples
Qwen3.6-27B,UD-IQ3_XXS,0.97099,0.004905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.792683,0.031752,0.719512,0.035187,0.917266,,0.893285,,0.876155,0.014175,0.842884,0.01566,,,,
Qwen3.6-27B,UD-Q2_K_XL,0.963311,0.005494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.762195,0.033346,0.682927,0.036448,0.913669,,0.898082,,0.87061,0.014443,0.850277,0.015354,,,,
Qwen3.6-27B,UD-Q3_K_XL,0.971843,0.004834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77439,0.032739,0.719512,0.035187,0.928058,,0.899281,,0.890943,0.013414,0.850277,0.015354,,,,
Qwen3.6-27B,UD-Q4_K_XL,0.972696,0.004762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.841463,0.028608,0.756098,0.033636,0.929257,,0.901679,,0.89464,0.013212,0.859519,0.014953,,,,
Qwen3.6-27B,UD-Q5_K_XL,0.971843,0.004834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.841463,0.028608,0.780488,0.03242,0.92446,,0.90048,,0.887246,0.013611,0.853974,0.015196,,,,
Qwen3.6-27B-MTP,IQ4_NL,,,0.725104,0.725104,0.014387,0.875,0.085391,0.833333,0.333333,0.210819,0.090388,0.904762,0.065638,0.854167,0.051481,0.767196,0.030823,0.767327,0.029803,0.75,0.8,0.2,0.25,1.0,0.0,0.714286,0.065205,0.5,0.074536,0.043478,0.043478,0.545455,0.088022,0.432432,0.082569,0.578947,0.081168,1.0,0.0,0.821429,0.822222,0.057638,0.073707,0.52381,0.111677,0.375,0.182981,0.985507,0.014493,0.125,0.085391,0.014387,1000,,,,5531.0,,,,,,,,,,,,,,,,,0.672,0.029752,250,250
Qwen3.6-27B-MTP,IQ4_XS,,,0.727835,0.727835,0.014298,0.875,0.085391,0.833333,0.333333,0.210819,0.090388,0.904762,0.065638,0.833333,0.054361,0.772487,0.030575,0.742574,0.030839,0.75,0.8,0.2,0.25,0.666667,0.333333,0.755102,0.062069,0.565217,0.073899,0.037037,0.037037,0.657143,0.081404,0.459459,0.083059,0.631579,0.079302,0.974359,0.025641,0.821429,0.844444,0.054639,0.073707,0.571429,0.110657,0.375,0.182981,0.971014,0.020345,0.125,0.085391,0.014298,1000,0.618421,0.485987,1140,5652.0,,,,,,,,,,,,,,,,,0.656,0.030105,250,250
Qwen3.6-27B-MTP,Q3_K_M,,,0.743005,0.743005,0.014074,0.875,0.085391,0.888889,0.333333,0.210819,0.076222,0.904762,0.065638,0.833333,0.054361,0.751323,0.031525,0.782178,0.029114,0.75,0.8,0.2,0.25,1.0,0.0,0.795918,0.058172,0.666667,0.071067,0.04,0.04,0.606061,0.086377,0.432432,0.082569,0.631579,0.079302,1.0,0.0,0.892857,0.844444,0.054639,0.059524,0.52381,0.111677,0.375,0.182981,0.985507,0.014493,0.125,0.085391,0.014074,1000,0.610526,0.487845,1140,5859.0,,,,,,,,,,,,,,,,,0.636,0.030492,250,250
Qwen3.6-27B-MTP,Q3_K_S,,,0.721649,0.721649,0.014398,0.875,0.085391,0.888889,0.333333,0.210819,0.076222,0.904762,0.065638,0.854167,0.051481,0.804233,0.028939,0.737624,0.03103,0.75,0.8,0.2,0.25,0.666667,0.333333,0.77551,0.060224,0.478261,0.074465,0.066667,0.046321,0.484848,0.088348,0.513514,0.083303,0.486486,0.083303,0.974359,0.025641,0.857143,0.8,0.060302,0.067344,0.52381,0.111677,0.375,0.182981,1.0,0.0,0.125,0.085391,0.014398,1000,0.6,0.490113,1140,6976.0,,,,,,,,,,,,,,,,,0.68,0.029562,250,250
Qwen3.6-27B-MTP,Q4_0,,,0.717549,0.717549,0.014515,0.875,0.085391,0.833333,0.333333,0.210819,0.090388,0.904762,0.065638,0.833333,0.054361,0.73545,0.03217,0.752475,0.030441,0.5,0.8,0.2,0.288675,1.0,0.0,0.734694,0.063724,0.521739,0.074465,0.095238,0.065638,0.588235,0.085673,0.378378,0.08083,0.605263,0.080357,0.948718,0.035782,0.821429,0.844444,0.054639,0.073707,0.52381,0.111677,0.375,0.182981,0.985507,0.014493,0.125,0.085391,0.014515,1000,0.588596,0.492304,1140,5299.0,,,,,,,,,,,,,,,,,0.644,0.030344,250,250
Qwen3.6-27B-MTP,Q4_1,,,0.733195,0.733195,0.01423,0.875,0.085391,0.888889,0.333333,0.210819,0.076222,0.904762,0.065638,0.854167,0.051481,0.751323,0.031525,0.777228,0.02935,0.75,0.8,0.2,0.25,1.0,0.0,0.77551,0.060224,0.565217,0.073899,0.037037,0.037037,0.59375,0.08821,0.459459,0.083059,0.605263,0.080357,0.974359,0.025641,0.857143,0.844444,0.054639,0.067344,0.52381,0.111677,0.375,0.182981,0.985507,0.014493,0.125,0.085391,0.01423,1000,0.608772,0.488239,1140,5178.0,,,,,,,,,,,,,,,,,0.704,0.028929,250,250
Qwen3.6-27B-MTP,Q4_K_M,,,0.731205,0.731205,0.014235,0.875,0.085391,0.888889,0.333333,0.210819,0.076222,0.904762,0.065638,0.854167,0.051481,0.730159,0.032373,0.787129,0.028872,1.0,0.8,0.2,0.0,1.0,0.0,0.755102,0.062069,0.630435,0.071955,0.068966,0.047887,0.617647,0.084595,0.432432,0.082569,0.578947,0.081168,0.974359,0.025641,0.821429,0.844444,0.054639,0.073707,0.52381,0.111677,0.375,0.182981,0.985507,0.014493,0.125,0.085391,0.014235,1000,0.600877,0.489933,1140,6274.0,,,,,,,,,,,,,,,,,0.676,0.029658,250,250
Qwen3.6-27B-MTP,Q4_K_S,,,0.724638,0.724638,0.01438,0.875,0.085391,0.888889,0.333333,0.210819,0.076222,0.904762,0.065638,0.875,0.04824,0.708995,0.033128,0.777228,0.02935,0.75,0.8,0.2,0.25,1.0,0.0,0.755102,0.062069,0.608696,0.072753,0.043478,0.043478,0.628571,0.082866,0.351351,0.079565,0.631579,0.079302,0.974359,0.025641,0.785714,0.844444,0.054639,0.078967,0.52381,0.111677,0.375,0.182981,0.971014,0.020345,0.125,0.085391,0.01438,1000,0.614912,0.48683,1140,6619.0,,,,,,,,,,,,,,,,,0.668,0.029844,250,250
Qwen3.6-27B-MTP,Q5_K_M,,,0.729897,0.729897,0.014264,0.8125,0.100778,0.777778,0.333333,0.210819,0.100832,0.904762,0.065638,0.854167,0.051481,0.730159,0.032373,0.757426,0.030234,0.75,0.8,0.2,0.25,1.0,0.0,0.77551,0.060224,0.673913,0.069882,0.034483,0.034483,0.606061,0.086377,0.486486,0.083303,0.657895,0.077993,1.0,0.0,0.857143,0.844444,0.054639,0.067344,0.52381,0.111677,0.375,0.182981,0.985507,0.014493,0.125,0.085391,0.014264,1000,,,,6910.0,,,,,,,,,,,,,,,,,0.656,0.030105,250,250
Qwen3.6-27B-MTP,Q5_K_S,,,0.72549,0.72549,0.014344,0.8125,0.100778,0.888889,0.333333,0.210819,0.076222,0.904762,0.065638,0.833333,0.054361,0.698413,0.033472,0.762376,0.030021,0.75,0.8,0.2,0.25,1.0,0.0,0.795918,0.058172,0.608696,0.072753,0.037037,0.037037,0.558824,0.086434,0.513514,0.083303,0.657895,0.077993,1.0,0.0,0.821429,0.866667,0.051247,0.073707,0.571429,0.110657,0.375,0.182981,0.985507,0.014493,0.125,0.085391,0.014344,1000,,,,6719.0,,,,,,,,,,,,,,,,,0.68,0.029562,250,250
Qwen3.6-27B-MTP,UD-IQ2_M,,,0.714581,0.714581,0.01453,0.875,0.085391,0.888889,0.333333,0.210819,0.076222,0.904762,0.065638,0.770833,0.061307,0.740741,0.031961,0.777228,0.02935,0.75,1.0,0.0,0.25,0.666667,0.333333,0.795918,0.058172,0.478261,0.074465,0.071429,0.049563,0.454545,0.088022,0.457143,0.085434,0.578947,0.081168,0.948718,0.035782,0.821429,0.8,0.060302,0.073707,0.52381,0.111677,0.375,0.182981,0.985507,0.014493,0.125,0.085391,0.01453,1000,0.564912,0.495986,1140,12929.0,,,,,,,,,,,,,,,,,0.68,0.029562,250,1000
Qwen3.6-27B-MTP,UD-IQ2_XXS,,,0.681771,0.681771,0.014956,0.8125,0.100778,0.777778,0.333333,0.210819,0.100832,0.857143,0.078246,0.770833,0.061307,0.78836,0.029791,0.678218,0.032951,0.75,0.8,0.2,0.25,0.666667,0.333333,0.693878,0.066522,0.521739,0.074465,0.0,0.0,0.514286,0.085714,0.388889,0.082402,0.5,0.082199,0.948718,0.035782,0.785714,0.755556,0.064788,0.078967,0.380952,0.108588,0.375,0.182981,0.985507,0.014493,0.125,0.085391,0.014956,1000,0.496491,0.500207,1140,5980.0,,,,,,,,,,,,,,,,,0.652,0.030187,250,250
Qwen3.6-27B-MTP,UD-IQ3_XXS,,,0.726337,0.726337,0.014308,0.875,0.085391,0.833333,0.333333,0.210819,0.090388,0.904762,0.065638,0.8125,0.056933,0.78836,0.029791,0.777228,0.02935,0.75,0.8,0.2,0.25,0.666667,0.333333,0.77551,0.060224,0.5,0.074536,0.033333,0.033333,0.529412,0.086888,0.486486,0.083303,0.578947,0.081168,1.0,0.0,0.75,0.822222,0.057638,0.083333,0.571429,0.110657,0.25,0.163663,1.0,0.0,0.125,0.085391,0.014308,1000,0.585965,0.492771,1140,6461.0,,,,,,,,,,,,,,,,,0.68,0.029562,250,250
Qwen3.6-27B-MTP,UD-Q2_K_XL,,,0.709845,0.709845,0.014617,0.8125,0.100778,0.777778,0.333333,0.210819,0.100832,0.904762,0.065638,0.854167,0.051481,0.777778,0.030321,0.722772,0.031573,0.5,0.8,0.2,0.288675,0.666667,0.333333,0.673469,0.067686,0.565217,0.073899,0.04,0.04,0.575758,0.087368,0.5,0.084515,0.526316,0.082086,0.974359,0.025641,0.785714,0.777778,0.062675,0.078967,0.47619,0.111677,0.375,0.182981,0.985507,0.014493,0.125,0.085391,0.014617,1000,0.586842,0.492617,1140,7188.0,,,,,,,,,,,,,,,,,0.664,0.029933,250,250
Qwen3.6-27B-MTP,UD-Q3_K_XL,,,0.73423,0.73423,0.014213,0.875,0.085391,0.888889,0.333333,0.210819,0.076222,0.904762,0.065638,0.854167,0.051481,0.751323,0.031525,0.772277,0.02958,1.0,0.8,0.2,0.0,0.666667,0.333333,0.816327,0.05589,0.608696,0.072753,0.074074,0.051361,0.5625,0.089098,0.378378,0.08083,0.631579,0.079302,0.974359,0.025641,0.892857,0.844444,0.054639,0.059524,0.52381,0.111677,0.375,0.182981,0.971014,0.020345,0.125,0.085391,0.014213,1000,0.601754,0.489751,1140,6360.0,,,,,,,,,,,,,,,,,0.672,0.029752,250,250
Qwen3.6-27B-MTP,UD-Q4_K_XL,,,0.733679,0.733679,0.014237,0.875,0.085391,0.833333,0.333333,0.210819,0.090388,0.904762,0.065638,0.833333,0.054361,0.73545,0.03217,0.777228,0.02935,0.75,0.8,0.2,0.25,1.0,0.0,0.77551,0.060224,0.630435,0.071955,0.045455,0.045455,0.6,0.084017,0.486486,0.083303,0.578947,0.081168,0.974359,0.025641,0.821429,0.866667,0.051247,0.073707,0.52381,0.111677,0.375,0.182981,0.971014,0.020345,0.125,0.085391,0.014237,1000,0.597368,0.490643,1140,6303.0,,,,,,,,,,,,,,,,,0.684,0.029463,250,250
Qwen3.6-27B-MTP,UD-Q5_K_XL,,,0.715026,0.715026,0.014539,0.8125,0.100778,0.833333,0.333333,0.210819,0.090388,0.904762,0.065638,0.854167,0.051481,0.703704,0.033303,0.762376,0.030021,0.75,0.8,0.2,0.25,1.0,0.0,0.77551,0.060224,0.543478,0.074253,0.041667,0.041667,0.545455,0.088022,0.324324,0.07802,0.684211,0.076418,0.974359,0.025641,0.821429,0.844444,0.054639,0.073707,0.52381,0.111677,0.375,0.182981,0.985507,0.014493,0.125,0.085391,0.014539,1000,,,,6849.0,,,,,,,,,,,,,,,,,0.684,0.029463,250,250
Qwen3.6-35B-A3B,MXFP4_MOE,0.956485,0.005962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.893101,0.008511,0.872631,0.009183,0.621951,0.03798,,,0.911271,,0.889688,,0.868762,0.014531,0.837338,0.015882,,,,
Qwen3.6-35B-A3B,UD-IQ1_M,0.955631,0.006017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.893101,0.008511,0.886277,0.008745,0.567073,0.038809,,,0.90048,,0.869305,,0.853974,0.015196,0.813309,0.016768,,,,
Qwen3.6-35B-A3B,UD-IQ2_M,0.959044,0.005792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.907506,0.00798,0.893101,0.008511,0.5,0.039163,,,0.917266,,0.882494,,0.874307,0.014266,0.826248,0.016305,,,,
Qwen3.6-35B-A3B,UD-IQ2_XXS,0.957338,0.005906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.905231,0.008068,0.896133,0.008404,0.487805,0.039151,,,0.898082,,0.871703,,0.852126,0.015276,0.818854,0.016574,,,,
Qwen3.6-35B-A3B,UD-IQ3_S,0.959044,0.005792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.585366,0.038588,,,0.919664,,0.882494,,0.876155,0.014175,0.824399,0.016373,,,,
Qwen3.6-35B-A3B,UD-IQ3_XXS,0.955631,0.006017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.585366,0.038588,,,0.913669,,0.886091,,0.868762,0.014531,0.831793,0.016097,,,,
Qwen3.6-35B-A3B,UD-IQ4_NL,0.953072,0.00618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.902957,0.008154,0.893101,0.008511,0.609756,0.038208,,,0.90048,,0.8753,,0.848429,0.015432,0.813309,0.016768,,,,
Qwen3.6-35B-A3B,UD-IQ4_NL_XL,0.954778,0.006072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.621951,0.03798,,,0.906475,,0.877698,,0.857671,0.015035,0.815157,0.016704,,,,
Qwen3.6-35B-A3B,UD-IQ4_XS,0.952218,0.006233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.567073,0.038809,,,0.916067,,0.884892,,0.872458,0.014355,0.826248,0.016305,,,,
Qwen3.6-35B-A3B,UD-Q2_K_XL,0.956485,0.005962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.615854,0.038097,,,0.91247,,0.880096,,0.866913,0.014617,0.822551,0.016441,,,,
Qwen3.6-35B-A3B,UD-Q3_K_M,0.956485,0.005962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.615854,0.038097,,,0.91247,,0.882494,,0.865065,0.014702,0.822551,0.016441,,,,
Qwen3.6-35B-A3B,UD-Q3_K_S,0.955631,0.006017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.603659,0.038312,,,0.908873,,0.881295,,0.861368,0.014871,0.822551,0.016441,,,,
Qwen3.6-35B-A3B,UD-Q3_K_XL,0.954778,0.006072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.640244,0.037591,,,0.911271,,0.883693,,0.866913,0.014617,0.828096,0.016236,,,,
Qwen3.6-35B-A3B,UD-Q4_K_M,0.957338,0.005906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.591463,0.038502,,,0.914868,,0.888489,,0.872458,0.014355,0.83549,0.015954,,,,
Qwen3.6-35B-A3B,UD-Q4_K_S,0.956485,0.005962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.658537,0.037142,,,0.911271,,0.878897,,0.866913,0.014617,0.822551,0.016441,,,,
Qwen3.6-35B-A3B,UD-Q4_K_XL,0.953925,0.006126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.579268,0.038668,,,0.918465,,0.896882,,0.878004,0.014084,0.84658,0.015509,,,,
Qwen3.6-36B-A3B-MTP,MXFP4_MOE,,,0.682412,0.682412,0.014766,0.875,0.085391,0.888889,0.333333,0.210819,0.076222,0.857143,0.078246,0.833333,0.054361,0.714286,0.032948,0.732673,0.031216,0.75,0.8,0.2,0.25,1.0,0.0,0.714286,0.065205,0.586957,0.0734,0.0,0.0,0.545455,0.075934,0.333333,0.079682,0.526316,0.082086,0.923077,0.043227,0.892857,0.777778,0.062675,0.059524,0.52381,0.111677,0.375,0.182981,0.956522,0.02473,0.125,0.085391,0.014766,1000,0.595614,0.490988,1140,2532.0,,,,,,,,,,,,,,,,,0.74,0.027797,250,250
Qwen3.6-36B-A3B-MTP,UD-IQ1_M,,,0.589304,0.589304,0.015636,0.875,0.085391,0.666667,0.333333,0.210819,0.114332,0.904762,0.065638,0.416667,0.071912,0.391534,0.035598,0.737624,0.03103,0.75,1.0,0.0,0.25,1.0,0.0,0.714286,0.065205,0.5,0.074536,0.0,0.0,0.636364,0.073359,0.166667,0.062994,0.27027,0.074017,0.897436,0.049216,0.857143,0.866667,0.051247,0.067344,0.47619,0.111677,0.375,0.182981,0.985507,0.014493,0.125,0.085391,0.015636,1000,,,,2436.0,,,,,,,,,,,,,,,,,0.704,0.028929,250,250
Qwen3.6-36B-A3B-MTP,UD-IQ2_M,,,0.669043,0.669043,0.015024,0.875,0.085391,0.777778,0.5,0.223607,0.100832,0.904762,0.065638,0.8125,0.056933,0.619048,0.035418,0.737624,0.03103,0.75,0.8,0.2,0.25,1.0,0.0,0.755102,0.062069,0.565217,0.073899,0.083333,0.046718,0.5,0.080064,0.342857,0.081404,0.342105,0.077993,0.897436,0.049216,0.928571,0.866667,0.051247,0.049563,0.571429,0.110657,0.375,0.182981,0.927536,0.031439,0.125,0.085391,0.015024,1000,0.573684,0.494758,1140,2433.0,,,,,,,,,,,,,,,,,0.728,0.0282,250,250
Qwen3.6-36B-A3B-MTP,UD-IQ2_XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.575439,0.494493,1140,8512.0,,,,,,,,,,,,,,,,,,,,1140
Qwen3.6-36B-A3B-MTP,UD-IQ3_S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.594737,0.491158,1140,2753.0,,,,,,,,,,,,,,,,,0.732,0.028069,250,250
Qwen3.6-36B-A3B-MTP,UD-IQ3_XXS,,,0.65996,0.65996,0.015033,0.875,0.085391,0.777778,0.333333,0.210819,0.100832,0.904762,0.065638,0.770833,0.061307,0.608466,0.035598,0.762376,0.030021,0.75,1.0,0.0,0.25,1.0,0.0,0.816327,0.05589,0.478261,0.074465,0.068182,0.038438,0.534884,0.076964,0.25,0.073193,0.421053,0.081168,0.948718,0.035782,0.75,0.8,0.060302,0.083333,0.571429,0.110657,0.25,0.163663,0.971014,0.020345,0.125,0.085391,0.015033,1000,0.584211,0.493074,1140,3166.0,,,,,,,,,,,,,,,,,0.744,0.027657,250,250
Qwen3.6-36B-A3B-MTP,UD-IQ4_NL,,,0.685111,0.685111,0.01474,0.875,0.085391,0.777778,0.333333,0.210819,0.100832,0.904762,0.065638,0.833333,0.054361,0.730159,0.032373,0.717822,0.031745,0.75,0.6,0.244949,0.25,0.666667,0.333333,0.734694,0.063724,0.521739,0.074465,0.047619,0.033259,0.590909,0.074978,0.324324,0.07802,0.526316,0.082086,0.923077,0.043227,0.892857,0.888889,0.047378,0.059524,0.52381,0.111677,0.375,0.182981,0.927536,0.031439,0.125,0.085391,0.01474,1000,0.59386,0.491327,1140,3122.0,,,,,,,,,,,,,,,,,0.704,0.028929,250,250
Qwen3.6-36B-A3B-MTP,UD-IQ4_XS,,,0.701807,0.701807,0.014503,0.875,0.085391,0.833333,0.333333,0.210819,0.090388,0.857143,0.078246,0.854167,0.051481,0.751323,0.031525,0.727723,0.031397,0.75,1.0,0.0,0.25,0.666667,0.333333,0.755102,0.062069,0.673913,0.069882,0.044444,0.031068,0.627907,0.074585,0.324324,0.07802,0.552632,0.081743,0.871795,0.054234,0.892857,0.866667,0.051247,0.059524,0.52381,0.111677,0.375,0.182981,0.956522,0.02473,0.125,0.085391,0.014503,1000,0.591228,0.491823,1140,3016.0,,,,,,,,,,,,,,,,,0.676,0.029658,250,250
Qwen3.6-36B-A3B-MTP,UD-Q2_K_XL,,,0.652106,0.652106,0.018827,0.833333,0.112367,0.857143,0.333333,0.333333,0.097052,0.916667,0.083333,0.758621,0.080869,0.53913,0.046686,0.753968,0.038523,0.75,0.75,0.25,0.25,0.666667,0.333333,0.702703,0.076178,0.655172,0.089826,0.038462,0.038462,0.590909,0.10729,0.222222,0.081533,0.413793,0.093076,0.95,0.05,0.722222,0.806452,0.072131,0.108632,0.538462,0.14391,0.5,0.223607,0.980769,0.019231,0.222222,0.146986,0.018827,1000,0.572807,0.494888,1140,32865.0,,,,,,,,,,,,,,,,,,,,1000
Qwen3.6-36B-A3B-MTP,UD-Q3_K_M,,,0.679435,0.679435,0.014825,0.875,0.085391,0.777778,0.333333,0.210819,0.100832,0.904762,0.065638,0.8125,0.056933,0.624339,0.035321,0.762376,0.030021,0.75,0.8,0.2,0.25,0.666667,0.333333,0.77551,0.060224,0.608696,0.072753,0.02439,0.02439,0.55814,0.076628,0.324324,0.07802,0.552632,0.081743,0.923077,0.043227,0.892857,0.822222,0.057638,0.059524,0.52381,0.111677,0.375,0.182981,0.971014,0.020345,0.125,0.085391,0.014825,1000,0.596491,0.490816,1140,2780.0,,,,,,,,,,,,,,,,,0.716,0.028577,250,250
Qwen3.6-36B-A3B-MTP,UD-Q3_K_XL,,,0.687563,0.687563,0.014745,0.875,0.085391,0.777778,0.333333,0.210819,0.100832,0.857143,0.078246,0.8125,0.056933,0.62963,0.035219,0.767327,0.029803,0.75,0.6,0.244949,0.25,1.0,0.0,0.77551,0.060224,0.630435,0.071955,0.026316,0.026316,0.666667,0.071067,0.285714,0.077475,0.552632,0.081743,0.871795,0.054234,0.964286,0.844444,0.054639,0.035714,0.52381,0.111677,0.375,0.182981,0.956522,0.02473,0.125,0.085391,0.014745,1000,0.594737,0.491158,1140,2922.0,,,,,,,,,,,,,,,,,0.716,0.028577,250,250
Qwen3.6-36B-A3B-MTP,UD-Q4_K_M,,,0.682046,0.682046,0.014756,0.875,0.085391,0.777778,0.333333,0.210819,0.100832,0.809524,0.087805,0.875,0.04824,0.708995,0.033128,0.727723,0.031397,0.75,0.8,0.2,0.25,1.0,0.0,0.714286,0.065205,0.673913,0.069882,0.044444,0.031068,0.568182,0.075537,0.297297,0.076178,0.421053,0.081168,0.871795,0.054234,0.821429,0.844444,0.054639,0.073707,0.571429,0.110657,0.375,0.182981,0.985507,0.014493,0.125,0.085391,0.014756,1000,,,,2663.0,,,,,,,,,,,,,,,,,0.732,0.028069,250,250
Qwen3.6-36B-A3B-MTP,UD-Q4_K_S,,,0.694472,0.694472,0.01461,0.875,0.085391,0.777778,0.333333,0.210819,0.100832,0.809524,0.087805,0.895833,0.044558,0.756614,0.031297,0.732673,0.031216,0.75,0.6,0.244949,0.25,1.0,0.0,0.714286,0.065205,0.565217,0.073899,0.0,0.0,0.590909,0.074978,0.314286,0.079615,0.552632,0.081743,0.897436,0.049216,0.928571,0.822222,0.057638,0.049563,0.571429,0.110657,0.375,0.182981,0.971014,0.020345,0.125,0.085391,0.01461,1000,0.591228,0.491823,1140,2579.0,,,,,,,,,,,,,,,,,0.74,0.027797,250,250
gemma-4-26B-A4B-it,MXFP4_MOE,0.919795,0.007937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906748,0.00801,0.899166,0.008294,,,,,0.93765,,0.92446,,0.909427,0.012351,0.889094,0.013513,,,,
gemma-4-26B-A4B-it,UD-IQ2_M,0.854096,0.010316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.894617,0.008458,0.885519,0.00877,,,,,0.932854,,0.913669,,0.900185,0.012899,0.878004,0.014084,,,,
gemma-4-26B-A4B-it,UD-IQ2_XXS,0.855802,0.010266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.890068,0.008616,0.88097,0.00892,,,,,0.941247,,0.918465,,0.911275,0.012236,0.881701,0.013898,,,,
gemma-4-26B-A4B-it,UD-IQ3_S,0.916382,0.008089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.891585,0.008564,0.874147,0.009136,,,,,0.932854,,0.919664,,0.900185,0.012899,0.883549,0.013804,,,,
